last_name,first_name,type,state,party
Schrier,Kim,rep,WA,Democrat
Steil,Bryan,rep,WI,Republican
Miller,Carol,rep,WV,Republican
Scott,Rick,sen,FL,Republican
Braun,Mike,sen,IN,Republican
Hawley,Joshua,sen,MO,Republican
Romney,Mitt,sen,UT,Republican
McSally,Martha,sen,AZ,Republican
Golden,Jared,rep,ME,Democrat
Keller,Fred,rep,PA,Republican
Bishop,Dan,rep,NC,Republican
Murphy,Gregory,rep,NC,Republican
